Country;Life Expectancy;People who read (%)
Afghanistan;45;29
Argentina;72;95
Armenia;72;98
Australia;77;100
Austria;76;99
Azerbaijan;71;98
Bahrain;73;77
Bangladesh;53;35
Barbados;76;99
Belarus;71;99
Belgium;76;99
Bolivia;62;78
Bosnia;75;86
Botswana;63;72
Brazil;62;81
Bulgaria;72;93
Burkina Faso;49;18
Burundi;48;50
Cambodia;51;35
Cameroon;57;54
Canada;78;97
Cent. Afri.R;43;27
Chile;75;93
China;68;78
Colombia;72;87
Costa Rica;78;93
Croatia;74;97
Cuba;76;94
Denmark;76;99
Domincan R.;68;83
Ecuador;70;88
Egypt;62;48
El Salvador;67;73
Estonia;72;99
Ethiopia;53;24
Finland;76;100
France;78;99
Gabon;55;61
Gambia;50;27
Georgia;73;99
Germany;76;99
Greece;78;93
Guatemala;65;55
Haiti;45;53
Honduras;68;73
Hong Kong;78;77
Hungary;72;99
Iceland;79;100
India;59;52
Indonesia;63;77
Iran;66;54
Iraq;67;60
Ireland;76;98
Israel;78;92
Italy;78;97
Japan;79;99
Jordan;72;80
Kenya;53;69
Kuwait;76;73
Latvia;70;99
Lebanon;69;80
Liberia;56;40
Libya;64;64
Lithuania;73;99
Malaysia;69;78
Mexico;73;87
Morocco;68;50
N. Korea;70;99
Netherlands;78;99
New Zealand;77;99
Nicaragua;64;57
Nigeria;56;51
Norway;78;99
Pakistan;58;35
Panama;75;88
Paraguay;74;90
Peru;65;85
Philippines;66;90
Poland;73;99
Portugal;75;85
Romania;72;96
Russia;69;99
Rwanda;45;50
S. Korea;71;96
Saudi Arabia;68;62
Senegal;57;38
Singapore;76;88
Somalia;55;24
South Africa;65;76
Spain;78;95
Sweden;78;99
Switzerland;79;99
Syria;67;64
Taiwan;75;91
Tanzania;43;46
Thailand;69;93
Turkey;71;81
U.Arab Em.;72;68
UK;77;99
USA;76;97
Uganda;42;48
Ukraine;70;97
Uruguay;74;96
Uzbekistan;69;97
Venezuela;73;88
Vietnam;66;88
Zambia;45;73
